"Falls City city, Texas",654
"Strawn city, Texas",654
"Trenton city, Texas",646
"Lone Oak city, Texas",645
"Roxton city, Texas",642
"Frost city, Texas",640
"Kenefick town, Texas",640
"Oak Grove town, Texas",638
"New Hope town, Texas",635
"Lovelady city, Texas",632
"New Chapel Hill city, Texas",627
"Roby city, Texas",626
"Matador town, Texas",622
"Hawley city, Texas",619
"Oak Ridge town (Kaufman County), Texas",619
"Rule town, Texas",616
"Ingleside on the Bay city, Texas",615
"Ladonia town, Texas",614
"Cushing city, Texas",612
"Campbell city, Texas",606
"Niederwald city, Texas",606
"Miami city, Texas",602
"Nome city, Texas",602
"Graford city, Texas",601
"Winona town, Texas",601
"Murchison city, Texas",599
"Stagecoach town, Texas",594
"Volente village, Texas",592
"Colmesneil city, Texas",591
"Encinal city, Texas",587
"Meadow town, Texas",586
"Pattison city, Texas",586
"Loraine town, Texas",582
"Golinda city, Texas",577
"Smiley city, Texas",570
"Surfside Beach city, Texas",568
"Groom town, Texas",565
"Newcastle city, Texas",565
"Deport city, Texas",563
"San Perlita city, Texas",557
"Annetta South town, Texas",550
"Balmorhea city, Texas",550
"Annetta North town, Texas",546
"New Berlin city, Texas",543
"Riverside city, Texas",543
"Post Oak Bend City town, Texas",541
